_id,bus_no,dest,platform
258,82C,"CENTRAL, YESHWANTHPUR",21
259,90E,"CENTRAL, YESHWANTHPUR",21
260,98B,"MALLESHWARAM, DEVASANDRA",21
261,98E,"YESHWANTHPUR, KANTIRAVANAGAR",21
262,98F,"MALLESHWARAM 8TH CROSS, GORGUNTEPALYA",21
263,98G,"MALLESHWARAM, DEVASANDRA",21
264,99B,"MALLESHWARAM, MATTHIKERE",21
265,266H,"MATTHIKERE, MS PALYA, DIBBUR",22
266,269,"MALLESHWARAM, BEL CIRCLE",22
267,269B,"MATTHIKERE, BALIGA CIRCLE",22
268,271,"BEL CIRCLE, JALAHALLI EAST",22
269,271A,"MATTHIKERE, GANGAMMA CIRCLE",22
270,271B,MATTHIKERE,22
271,271C,"BEL MARKET, KUVEMPUNAGAR",22
272,271D,"MALLESHWARAM, MUTHYALANAGAR",22
273,271E,"MALLESHWARAM, MS PALYA",22
274,276,"MALLESHWARAM, DEVASANDRA",22B
275,276C,"MALLESHWARAM, DEVASANDRA",22B
276,276J,"MATHIKERE, ATTUR LAYOUT",22B
277,279C,"MEKHRI CIRCLE, NAGASHETTIHALLI",23
278,279E,"RAJMAHAL GUTTAHALLI, GEDDALAHALLI",23
279,279K,"MEKHRI CIRCLE, ASHWATHNAGAR",23
280,281F,"MEKHRI CIRCLE, HUNASAMARANAHALLI",23
281,282F,"HEBBAL, BETTAHALASURU CROSS",23
282,282G,"MEKHRI CIRCLE, YELAHANKA",23
283,284,"MEKHRI CIRCLE, BYATARAYANAPURA",23
284,284C,"RAJMAHAL GUTTAHALLI, ALLALASANDRA",23
285,415H,"HEBBALA, NAGAVARA",23
286,284D,"RAJMAHAL GUTTAHALLI, BYATARAYANAPURA",23A
287,285M,"BYATARAYANAPURA, RAJANUKUNTE",23A
288,286F,"HEBBALA, BYATARAYANAPURA",23A
289,286G,"MEKHRI CIRCLE, BYATARAYANAPURA",23A
290,287G,"MEKHRI CIRCLE, MILITARY DAIRY FORUM",23A
291,287J,"RAJMAHAL GUTTAHALLI, HEBBAL",23A
292,288D,"MEKHRI CIRCLE, HEBBAL",23A
293,288G,"MEKHRI CIRCLE, HEBBAL",23A
294,288H,"MEKHRI CIRCLE, SANJEEVINI NAGAR",23B
295,289M,"MEKHRI CIRCLE, YELAHANKA",23B
296,297G,"HEBBALA, SADAHALLI",23B
297,298G,"HEBBAL, CHIKKAJALA",23B
298,298M,"YELAHANKA, CHIKKAJALA",23B
299,298MA,"HEBBAL, KANNAMANGALA GATE",23B
300,402B,"HEBBAL, YELAHANKA NEW TOWN",23B
301,297J,"HEBBALA, SADAHALLI",23C
302,298G,"HEBBALA, CHIKKAJALA",23C
303,298M,"YELAHANKA, CHIKKAJALA",23C
304,298MA,"HEBBAL, KANNAMANGALA GATE",23C
305,402B,"HEBBAL, YELAHANKA NEW TOWN",23C
306,108B,"VASANTHANAGAR, MUNIREDDYPALYA",24
307,111C,"VASANTHANAGAR, MUNIREDDYPALYA",24
308,114C,"VASANTHANAGAR, MUNIREDDYPALYA",24
309,415A,"VASANTHANAGAR, HMT LAYOUT",24
310,415B,"VASANTHANAGAR, HMT LAYOUT",24
311,104,"CENTRAL, MALLESHWARAM",25
312,145,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN",25A
313,145A,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, NEELASANDRA",25A
314,146,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN",25A
315,146B,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, EJIPURA",25A
316,146E,"CORPORATION, NANJAPPA CIRCLE, AUSTIN TOWN, VIVEK NAGAR",25A
317,340A,"MAHARANI COLLEGE, DIARY CIRCLE, AGARA, PARANGIPALYA",25B
318,340M,"MAHARANI COLLEGE, WILSON GARDEN, JAKKASANDRA, PARANGIPALYA",25B
319,340L,"CORPORATION, BELLANDUR MAIN ROAD, CENTRAL JAIL",25B
320,340H,"CORPORATION, DIARY CIRCLE",25B
321,340G,"ADUGODI, JAKKASANDRA, H.S.R. LAYOUT 2ND SECTOR",25B
322,340F,"WILSON GARDEN, ADUGODI",25B
323,341D,"CORPORATION, DIARY CIRCLE, AGADA",25B
324,341E,"CORPORATION, JAKKASANDRA, HARALUR CROSS",25B
325,342F,"CORPORATION, JAKKASANDRA, DODDAKANNELLI, AMERE",25B
326,KBS3A,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, CHANDAPURA",26
327,KBS3C,"MADIWALA, BOMMANAHALLI, SINGASANDRA, HEBBAGODI, NARAYANA HRUDAYALAYA",26
328,KBS3E,"MADIWALA, BOMMANAHALLI, KONAPPANA AGRAHARA",26
329,342F,"CORPORATION, SHANTHI NAGAR, KORAMANGALA 1ST BLOCK, BELLANDUR GATE",26
330,343A,"MADIWALA, BOMMANAHALLI, HONGSANDRA, BETTADASANAPURA CROSS",26
331,343B,LALBAGH,26
332,343L,"MADIWALA, BOMMANAHALLI, HONGASANDRA",26
333,343K,"MADIWALA, BOMMANAHALLI, HONGASANDRA",26
334,344B,"MADIWALA, BOMMANAHALLI, BEGURU",26
335,346C,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD",26A
336,346H,"BANGLORE DAIRY, MADIWALA, KUDLE GATE, HOSA ROAD",26A
337,346CK,"MADIWALA, HOSA ROAD, CENTRAL JAIL",26A
338,347H,"MADIWALA, SINGASANDRA, HOSA ROAD",26A
339,346N,"MADIWALA, SINGASANDRA, KONAPPANA AGRAHARA",26A
340,346V,"MADIWALA, BOMMANAHALLI, SINGASANDRA",26A
341,347B,"MADIWALA, BOMMANAHALLI",26A
342,347C,"MADIWALA, BOMMANAHALLI, HOSA ROAD",26A
343,347HD,"MADIWALA, BOMMANAHALLI, HOSA ROAD, CHIKKATHOGURU",26A
344,347E,"MADIWALA, BOMMANAHALLI, KUDLUGATE",26A
345,347L,"MADIWALA, BOMMANAHALLI, KUDLUGATE, SOMASUNDARAPALYA",26A
346,348,"MADIWALA, SI APARTMENT",26A
347,351A,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA",26B
348,351J,"MADIWALA, HEBBAGODI, CHANDAPURA, RAMASANDRA, MUTTA NELLORU",26B
349,352A,"MADIWALA, HEBBAGODI, KITHAGANUR",26B
350,352B,"MADIWALA, HEBBAGODI, HENNAGARA",26B
351,353C,"MADIWALA, HEBBAGODI, HINMAKKI, SHITANAYAKANAHALLI, MADAPATTANA",26B
352,354B,"LALBAGH, MADIWALA, HEBBAGODI, CHANDAPURA, HIGGALURU",26B
